replica,cpu,heap,previous_tps,instant_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,timestamp,utilization,performance
1,7,6,81,106,0.558,0.669,0.1839534028203556,42.60484781746032,32.62,106.0,0,104,1708277033.3103778,0.7971428571428573,0.030656039239730228
3,6,5,106,120,0.301,0.743,0.13082113821138208,43.555014484126986,26.24,120.2,0,120,1708277648.5411465,0.5016666666666667,0.038109756097560975
1,5,7,120,82,0.5,0.727,0.20366115967232618,44.555014484126986,218.51,82.4,0,144,1708278263.7579813,1.0,0.0045764495904077615
3,7,5,82,152,0.3356666666666667,0.762,0.1357851208279922,45.502966865079365,20.06,152.53,0,152,1708278878.9930823,0.47952380952380963,0.04985044865403789
3,4,6,152,76,0.282,0.7933333333333333,0.144071253071253,46.47346686507937,260.48,76.13,0,160,1708279494.2456963,0.7049999999999998,0.0038390663390663387
2,6,6,76,104,0.346,0.7855000000000001,0.9153333333333333,47.43113353174604,19.28,104.87,0,104,1708280138.306299,0.5766666666666667,1.0
2,6,4,104,80,0.2595,0.708,0.8865000000000001,48.374383531746034,14.73,80.13,0,80,1708280753.553754,0.43250000000000005,1.0
2,8,9,80,112,0.34,0.769,0.885,49.30232797619048,16.59,112.73,0,112,1708281368.7778184,0.425,1.0
3,6,5,112,94,0.254,0.7140000000000001,0.8846666666666667,50.244661309523806,18.66,94.87,0,96,1708281984.031774,0.42333333333333334,1.0
2,4,7,94,96,0.3365,0.8155,0.18300470306160088,51.228786309523805,54.22,96.2,0,96,1708282599.31924,0.84125,0.018443378827001106
2,8,9,96,95,0.2915,0.8175,0.8728750000000001,52.15605714285714,14.76,95.93,0,96,1708283214.5436978,0.36437499999999995,1.0
2,9,9,95,97,0.282,0.761,0.8626666666666667,53.07194603174602,14.46,97.13,0,96,1708283829.7633042,0.3133333333333333,1.0
1,6,9,97,80,0.441,0.863,0.17707518796992477,54.04133492063491,26.6,80.27,0,80,1708284444.9938643,0.735,0.03759398496240601
2,9,6,80,72,0.2375,0.7625,0.8527777777777779,54.9677238095238,14.19,72.6,0,72,1708285060.218272,0.2638888888888889,1.0
1,5,5,72,91,0.501,0.814,0.20570816981805204,55.9677238095238,140.15,91.33,0,104,1708285675.4398136,1.0,0.007135212272565109
1,8,7,91,104,0.777,0.756,0.2064899020807833,56.964848809523794,65.36,104.07,0,104,1708286290.668207,0.97125,0.015299877600979192
3,7,4,104,104,0.2766666666666666,0.7076666666666666,0.8790476190476191,57.90437261904761,15.96,104.07,0,104,1708286905.9769492,0.39523809523809517,1.0
3,9,9,104,104,0.2336666666666666,0.7506666666666666,0.851925925925926,58.813742989417975,15.96,104.87,0,104,1708287521.2494764,0.25962962962962954,1.0
3,9,9,104,96,0.2166666666666666,0.7603333333333332,0.8481481481481482,59.72229854497353,16.43,96.13,0,96,1708288136.506668,0.24074074074074064,1.0
3,7,6,96,80,0.2299999999999999,0.7136666666666667,0.8657142857142858,60.65515568783068,16.68,80.33,0,80,1708288751.7349174,0.32857142857142846,1.0
1,6,8,80,72,0.418,0.751,0.1737715597646721,61.61869735449734,23.23,72.07,0,72,1708289366.965428,0.6966666666666667,0.04304778303917348
3,6,8,72,24,0.0946666666666666,0.8053333333333333,0.8315555555555556,62.53447513227512,17.85,24.0,0,24,1708289982.1706996,0.15777777777777766,1.0
1,9,4,24,24,0.163,0.699,0.8362222222222222,63.45258624338623,15.13,24.0,0,24,1708290597.3569324,0.1811111111111111,1.0
2,4,8,24,31,0.1684999999999999,0.8434999999999999,0.1176668755221386,64.39471124338623,23.94,31.8,0,32,1708291212.5535133,0.42124999999999974,0.04177109440267335
3,9,8,31,32,0.1109999999999999,0.7403333333333334,0.8246666666666667,65.29958624338623,16.56,32.0,0,32,1708291827.7743971,0.12333333333333323,1.0
3,8,5,32,40,0.1253333333333333,0.6793333333333335,0.8313333333333334,66.2152529100529,16.08,40.0,0,40,1708292442.9801266,0.15666666666666662,1.0
3,7,9,40,32,0.1373333333333333,0.795,0.8392380952380952,67.12320529100528,16.95,32.0,0,32,1708293058.1976576,0.19619047619047617,1.0
1,4,4,32,32,0.21,0.764,0.137051282051282,68.07570529100528,24.96,32.2,0,32,1708293673.430802,0.5249999999999999,0.04006410256410256
1,6,7,32,24,0.165,0.754,0.855,69.00320529100527,16.06,24.4,0,24,1708294288.6397974,0.275,1.0
3,6,5,24,40,0.15,0.7610000000000001,0.8500000000000001,69.92820529100527,18.8,40.13,0,40,1708294903.847188,0.25,1.0
1,4,4,40,39,0.27,0.722,0.15356148491879348,70.89570529100527,43.1,39.93,0,40,1708295519.0812478,0.675,0.02320185614849188
2,5,6,39,40,0.1735,0.8069999999999999,0.8694000000000001,71.83040529100528,15.42,40.07,0,40,1708296134.2979758,0.347,1.0
1,9,9,40,40,0.23,0.755,0.8511111111111112,72.73984973544972,14.53,40.0,0,40,1708296749.5020726,0.25555555555555554,1.0
1,9,5,40,48,0.305,0.73,0.8677777777777778,73.67373862433861,15.57,48.13,0,48,1708297364.6902788,0.33888888888888885,1.0
2,4,8,48,40,0.195,0.8500000000000001,0.12301020408163263,74.62248862433862,31.36,40.0,0,40,1708297979.883033,0.4875,0.03188775510204082
2,9,6,40,32,0.1335,0.7025,0.8296666666666667,75.53732195767195,15.26,32.27,0,32,1708298595.1193566,0.14833333333333334,1.0
