replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps,utilization
5,5,5,26.67,2.47,28,33,0.418,0.6,0.20589828910389382,12.36283690793651,824.46,2.47,0,18,0.9179999999999999
5,9,8,2.47,45.72,173,177,0.525,0.694,0.796271260575945,13.253003574603175,22.74,45.72,0,45,0.7254166666666666
1,7,7,45.72,23.31,120,147,0.689,0.645,0.207639138946079,14.022813231746037,173.72,23.32,0,36,0.9528571428571428
6,9,4,23.31,36.53,165,166,0.433,0.654,0.7970279912675544,14.919035453968258,22.91,36.54,0,36,0.7405555555555555
1,6,8,36.53,18.56,140,172,0.599,0.663,0.20567555908890994,15.593785720634925,217.99,18.56,0,36,0.9135416666666667
6,7,5,18.56,45.7,44,50,0.443,0.608,0.800573214944297,16.520357149206355,44.42,45.68,0,45,0.8164285714285715
3,5,8,45.7,24.66,79,87,0.304,0.737,0.19823129611672546,17.373984949206353,110.75,24.65,0,27,0.7646249999999999
5,9,6,24.66,27.67,112,118,0.408,0.658,0.7963337413556568,18.26465161587302,21.58,27.67,0,27,0.7266666666666667
4,9,7,27.67,45.8,211,215,0.531,0.69,0.7993928244567778,19.17979447301588,26.66,45.82,0,45,0.7878571428571428
4,5,4,45.8,6.59,26,30,0.464,0.579,0.20819540835406466,19.67522807301588,884.24,6.59,0,36,0.964
3,5,9,6.59,18.8,80,84,0.258,0.67,0.19151620510545941,20.34509456190477,159.16,18.8,0,27,0.6302222222222222
4,9,8,18.8,27.39,104,112,0.566,0.672,0.7967224905670778,21.238872339682544,26.02,27.39,0,27,0.7344444444444445
2,6,7,27.39,27.88,94,112,0.516,0.621,0.20367815666789904,22.05280111111112,140.01,27.87,0,36,0.8735714285714287
5,7,8,27.88,27.52,64,70,0.421,0.686,0.7964308620816971,22.94458682539683,40.9,27.51,0,27,0.7294642857142857
4,6,9,27.52,16.77,36,41,0.475,0.657,0.3348035995943991,23.80792035873016,62.44,16.77,0,18,0.7608333333333333
4,9,7,16.77,36.7,186,190,0.504,0.657,0.7974644185019973,24.707634644444447,21.82,36.69,0,36,0.7492857142857143
5,9,4,36.7,37.3,147,150,0.471,0.63,0.798083388856792,25.61230131111112,21.87,37.3,0,36,0.7616666666666667
6,8,7,37.3,35.88,88,95,0.432,0.664,0.7972131028553848,26.5076821968254,34.01,35.86,0,36,0.7442857142857143
3,6,7,35.88,34.53,110,119,0.436,0.672,0.20216658906218762,27.420515730158733,96.49,34.53,0,36,0.8433333333333334
4,8,5,34.53,36.5,108,118,0.548,0.641,0.79117307501463,28.35751573015873,52.03,36.49,0,36,0.8425
5,9,6,36.5,27.45,91,98,0.431,0.631,0.7969724451157143,29.25329350793651,23.83,27.46,0,27,0.7394444444444445
2,8,7,27.45,36.2,261,280,0.628,0.682,0.21918123865438152,30.20515065079365,67.3,36.18,0,36,0.8796428571428572
1,4,8,36.2,0.84,22,27,0.396,0.747,0.20808933446119782,30.603900450793656,6907.77,0.84,1,36,0.961875
3,8,5,0.84,36.7,187,192,0.487,0.707,0.8002170599912038,31.52565045079365,34.44,36.68,0,36,0.804375
1,4,6,36.7,4.63,35,43,0.4,0.627,0.209991674991576,32.00281705079365,1063.99,4.63,0,36,1.0
6,8,7,4.63,36.72,31,35,0.572,0.612,0.7997319165863901,32.9206741936508,30.42,36.71,0,36,0.7946428571428571
4,9,9,36.72,27.55,113,116,0.413,0.66,0.7898143724102681,33.75911863809524,21.73,27.55,0,27,0.5961111111111111
5,6,7,27.55,20.77,28,32,0.421,0.643,0.2005059513016443,34.54449965714286,126.03,20.76,0,27,0.8101190476190476
4,9,4,20.77,18.27,88,96,0.405,0.647,0.7962504316044562,35.43449965714286,23.68,18.27,0,18,0.725
6,9,4,18.27,29.56,114,117,0.342,0.654,0.6123143439333583,36.20316625714286,58.34,29.56,0,36,0.69
2,7,6,29.56,27.47,192,211,0.589,0.65,0.8059691945277289,37.171451971428574,41.73,27.47,0,27,0.9207142857142857
4,7,4,27.47,26.12,55,62,0.44,0.617,0.7767590823056839,38.07783305714286,53.64,26.13,0,27,0.8142857142857143
1,5,6,26.12,8.09,10,12,0.492,0.613,0.2095926339884418,38.65441105714286,428.88,8.09,0,27,0.992
1,8,7,8.09,29.53,122,154,0.775,0.585,0.20511049444385288,39.50747071428572,135.22,29.53,0,36,0.9022321428571429
2,7,9,29.53,26.48,135,152,0.58,0.674,0.7776782796027297,40.41162937777778,53.44,26.49,0,27,0.7887301587301587
6,9,7,26.48,16.73,55,60,0.332,0.625,0.7914720128850652,41.22197858412699,42.07,16.74,0,18,0.6308730158730159
4,9,7,16.73,36.34,97,100,0.281,0.662,0.7914536196417825,42.07356588571429,18.87,36.33,0,36,0.6289682539682541
4,6,7,36.34,30.61,56,63,0.443,0.686,0.20295811904888017,42.92739935238095,99.68,30.61,0,36,0.8591666666666667
3,9,8,30.61,27.48,105,114,0.574,0.671,0.7969133101835283,43.822704907936505,29.3,27.48,0,27,0.7382638888888888
1,5,7,27.48,7.53,6,8,0.478,0.584,0.20475624592608357,44.34809545079365,459.9,7.53,0,27,0.8951428571428571
